[08/17 01:51:15.967060][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 848, height: 480, fps: 30}
[08/17 01:51:15.967092][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 424, height: 240, fps: 60}
[08/17 01:51:15.967130][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 424, height: 240, fps: 30}
[08/17 01:51:15.967168][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 424, height: 240, fps: 15}
[08/17 01:51:15.967206][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 424, height: 240, fps: 5}
[08/17 01:51:15.967244][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 480, height: 270, fps: 60}
[08/17 01:51:15.967281][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 480, height: 270, fps: 30}
[08/17 01:51:15.967318][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 480, height: 270, fps: 15}
[08/17 01:51:15.967355][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 480, height: 270, fps: 5}
[08/17 01:51:15.967420][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 640, height: 360, fps: 60}
[08/17 01:51:15.967459][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 640, height: 360, fps: 30}
[08/17 01:51:15.967496][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 640, height: 360, fps: 15}
[08/17 01:51:15.967533][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 640, height: 360, fps: 5}
[08/17 01:51:15.967570][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 640, height: 480, fps: 60}
[08/17 01:51:15.967607][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 640, height: 480, fps: 30}
[08/17 01:51:15.967645][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 640, height: 480, fps: 15}
[08/17 01:51:15.967682][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 640, height: 480, fps: 5}
[08/17 01:51:15.967720][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 848, height: 100, fps: 100}
[08/17 01:51:15.967759][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 848, height: 480, fps: 60}
[08/17 01:51:15.967796][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 848, height: 480, fps: 15}
[08/17 01:51:15.967834][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 848, height: 480, fps: 5}
[08/17 01:51:15.967871][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 1280, height: 720, fps: 30}
[08/17 01:51:15.967908][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 1280, height: 720, fps: 15}
[08/17 01:51:15.967945][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 1280, height: 720, fps: 5}
[08/17 01:51:15.967982][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 1280, height: 800, fps: 30}
[08/17 01:51:15.968019][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 1280, height: 800, fps: 15}
[08/17 01:51:15.968056][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 1280, height: 800, fps: 5}
[08/17 01:51:15.968094][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 640, height: 400, fps: 30}
[08/17 01:51:15.968130][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 640, height: 400, fps: 15}
[08/17 01:51:15.968167][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_DEPTH, format: OB_FORMAT_Y16, width: 640, height: 400, fps: 5}
