[08/17 01:51:15.981143][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 848, height: 480, fps: 30}
[08/17 01:51:15.981153][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 424, height: 240, fps: 60}
[08/17 01:51:15.981160][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 424, height: 240, fps: 30}
[08/17 01:51:15.981169][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 424, height: 240, fps: 15}
[08/17 01:51:15.981181][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 424, height: 240, fps: 5}
[08/17 01:51:15.981189][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 480, height: 270, fps: 60}
[08/17 01:51:15.981197][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 480, height: 270, fps: 30}
[08/17 01:51:15.981227][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 480, height: 270, fps: 15}
[08/17 01:51:15.981237][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 480, height: 270, fps: 5}
[08/17 01:51:15.981245][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 640, height: 360, fps: 60}
[08/17 01:51:15.981253][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 640, height: 360, fps: 30}
[08/17 01:51:15.981261][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 640, height: 360, fps: 15}
[08/17 01:51:15.981270][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 640, height: 360, fps: 5}
[08/17 01:51:15.981278][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 640, height: 480, fps: 60}
[08/17 01:51:15.981287][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 640, height: 480, fps: 30}
[08/17 01:51:15.981295][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 640, height: 480, fps: 15}
[08/17 01:51:15.981302][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 640, height: 480, fps: 5}
[08/17 01:51:15.981309][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 848, height: 100, fps: 100}
[08/17 01:51:15.981319][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 848, height: 480, fps: 60}
[08/17 01:51:15.981328][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 848, height: 480, fps: 15}
[08/17 01:51:15.981336][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 848, height: 480, fps: 5}
[08/17 01:51:15.981343][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 1280, height: 720, fps: 30}
[08/17 01:51:15.981351][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 1280, height: 720, fps: 15}
[08/17 01:51:15.981360][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 1280, height: 720, fps: 5}
[08/17 01:51:15.981368][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 1280, height: 800, fps: 30}
[08/17 01:51:15.981377][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 1280, height: 800, fps: 15}
[08/17 01:51:15.981386][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 1280, height: 800, fps: 5}
[08/17 01:51:15.981394][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 640, height: 400, fps: 30}
[08/17 01:51:15.981403][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 640, height: 400, fps: 15}
[08/17 01:51:15.981412][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y8, width: 640, height: 400, fps: 5}
[08/17 01:51:15.981420][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y12, width: 640, height: 400, fps: 25}
[08/17 01:51:15.981429][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y12, width: 640, height: 400, fps: 15}
[08/17 01:51:15.981436][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y12, width: 1280, height: 800, fps: 25}
[08/17 01:51:15.981444][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y12, width: 1280, height: 800, fps: 15}
[08/17 01:51:15.981453][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y16, width: 640, height: 400, fps: 25}
[08/17 01:51:15.981460][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y16, width: 640, height: 400, fps: 15}
[08/17 01:51:15.981475][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y16, width: 1280, height: 800, fps: 25}
[08/17 01:51:15.981484][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_LEFT, format: OB_FORMAT_Y16, width: 1280, height: 800, fps: 15}
