[08/17 01:51:15.969951][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 848, height: 480, fps: 30}
[08/17 01:51:15.969987][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 424, height: 240, fps: 60}
[08/17 01:51:15.970023][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 424, height: 240, fps: 30}
[08/17 01:51:15.970058][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 424, height: 240, fps: 15}
[08/17 01:51:15.970092][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 424, height: 240, fps: 5}
[08/17 01:51:15.970127][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 480, height: 270, fps: 60}
[08/17 01:51:15.970161][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 480, height: 270, fps: 30}
[08/17 01:51:15.970196][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 480, height: 270, fps: 15}
[08/17 01:51:15.970230][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 480, height: 270, fps: 5}
[08/17 01:51:15.970265][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 640, height: 360, fps: 60}
[08/17 01:51:15.970299][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 640, height: 360, fps: 30}
[08/17 01:51:15.970333][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 640, height: 360, fps: 15}
[08/17 01:51:15.970367][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 640, height: 360, fps: 5}
[08/17 01:51:15.970402][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 640, height: 480, fps: 60}
[08/17 01:51:15.970436][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 640, height: 480, fps: 30}
[08/17 01:51:15.970470][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 640, height: 480, fps: 15}
[08/17 01:51:15.970504][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 640, height: 480, fps: 5}
[08/17 01:51:15.970538][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 848, height: 100, fps: 100}
[08/17 01:51:15.970573][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 848, height: 480, fps: 60}
[08/17 01:51:15.970607][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 848, height: 480, fps: 15}
[08/17 01:51:15.970642][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 848, height: 480, fps: 5}
[08/17 01:51:15.970676][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 1280, height: 720, fps: 30}
[08/17 01:51:15.970710][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 1280, height: 720, fps: 15}
[08/17 01:51:15.970745][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 1280, height: 720, fps: 5}
[08/17 01:51:15.970780][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 1280, height: 800, fps: 30}
[08/17 01:51:15.970814][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 1280, height: 800, fps: 15}
[08/17 01:51:15.970848][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 1280, height: 800, fps: 5}
[08/17 01:51:15.970902][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 640, height: 400, fps: 30}
[08/17 01:51:15.970938][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 640, height: 400, fps: 15}
[08/17 01:51:15.970972][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y8, width: 640, height: 400, fps: 5}
[08/17 01:51:15.971007][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y12, width: 640, height: 400, fps: 25}
[08/17 01:51:15.971041][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y12, width: 640, height: 400, fps: 15}
[08/17 01:51:15.971076][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y12, width: 1280, height: 800, fps: 25}
[08/17 01:51:15.971110][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y12, width: 1280, height: 800, fps: 15}
[08/17 01:51:15.971144][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y16, width: 640, height: 400, fps: 25}
[08/17 01:51:15.971178][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y16, width: 640, height: 400, fps: 15}
[08/17 01:51:15.971212][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y16, width: 1280, height: 800, fps: 25}
[08/17 01:51:15.971246][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_IR_RIGHT, format: OB_FORMAT_Y16, width: 1280, height: 800, fps: 15}
